"","X","avg","med","std","max_depth","gamma","subsample","colsample_bytree"
"85",49,0.162859313575796,0.151878139077147,0.109508034527006,6,0,0.4,0.6
"86",125,0.163355352728901,0.159186066293715,0.100105696014123,6,6,0.6,0.8
"87",78,0.163608509694237,0.179691054105028,0.106141303410247,8,6,0.6,0.6
"88",2,0.163683194665058,0.159976630187264,0.110724791403231,8,0,0.4,0.4
"89",22,0.163858910553514,0.15068937659987,0.114182146072185,8,2,0.6,0.4
"90",48,0.164229527133888,0.161777882808333,0.111500534263233,12,6,0.8,0.4
"91",109,0.164328307670873,0.176617225199754,0.0967770236641026,6,6,0.4,0.8
"92",141,0.164530344163369,0.155212216362949,0.109098654664521,6,6,0.8,0.8
"93",6,0.164613220903339,0.18808506760695,0.10485735944417,8,2,0.4,0.4
"94",117,0.165022749116679,0.183635573864959,0.10756528802014,6,2,0.6,0.8
"95",66,0.165410960548796,0.169014217646143,0.101675727392258,8,0,0.6,0.6
"96",18,0.165459551088364,0.130443969129352,0.104329327195436,8,0,0.6,0.4
"97",12,0.165586807625622,0.174373957402781,0.0989575030398628,12,4,0.4,0.4
"98",28,0.166076851024035,0.169367329645377,0.104994685388238,12,4,0.6,0.4
"99",82,0.16616405488244,0.18229742171732,0.0990675172714236,8,0,0.8,0.6
"100",130,0.166651202666151,0.1769037773925,0.0969191525594644,8,0,0.8,0.8
"101",19,0.166962878420756,0.164442909454837,0.0995813836706613,10,0,0.6,0.4
"102",14,0.167067682810618,0.145875166359543,0.0990134210033297,8,6,0.4,0.4
"103",137,0.167276003665639,0.173245507242814,0.102233106262537,6,4,0.8,0.8
"104",39,0.167406859193052,0.171999308128271,0.112314987968405,10,2,0.8,0.4
"105",31,0.167632032414613,0.18093603776654,0.110467024205333,10,6,0.6,0.4
"106",27,0.168816628934606,0.159914523806401,0.106811072007221,10,4,0.6,0.4
"107",44,0.168936271710558,0.178356048165616,0.11282360640826,12,4,0.8,0.4
"108",86,0.169495851415786,0.189386722338766,0.102363942568319,8,2,0.8,0.6
"109",90,0.169996588703099,0.185800685237685,0.0950945576765273,8,4,0.8,0.6
"110",13,0.170150934479166,0.177115236442494,0.109103600397936,6,6,0.4,0.4
"111",113,0.170384620648484,0.185866760537821,0.0994759268137572,6,0,0.6,0.8
